# id|name|unit|group|allergens
porkBelly|五花肉（生）|g|生鲜肉类|
porkNeck|猪梅花肉（生）|g|生鲜肉类|
porkChop|带骨猪排（生）|g|生鲜肉类|
porkRibs|猪肋排（生，带骨）|g|生鲜肉类|
porkTender|猪里脊（生）|g|生鲜肉类|
porkShoulder|去骨猪肩肉（生）|g|生鲜肉类|
beefSteak|整切牛排（非拼接、非机械嫩化）|g|生鲜肉类|
beefTongue|牛舌薄片（生）|g|生鲜肉类|
beefFlank|牛腹肉（生，逆纹切）|g|生鲜肉类|
chickenWing|鸡中翅（生）|g|生鲜肉类|
chickenDrum|鸡小腿（生，带骨）|g|生鲜肉类|
chickenWhole|小整鸡（生，已去内脏）|g|生鲜肉类|
chickenBreast|鸡胸肉（生）|g|生鲜肉类|
chickenHeart|鸡心（生）|g|生鲜肉类|
chickenGizzard|鸡胗（生）|g|生鲜肉类|
chickenSkin|鸡皮（生）|g|生鲜肉类|
chickenGround|鸡肉末（生）|g|生鲜肉类|
duckBreast|带皮鸭胸（生）|g|生鲜肉类|
quail|鹌鹑（生，已去内脏）|g|生鲜肉类|
lambChop|带骨羊排（生）|g|生鲜肉类|
lambGround|羊肉末（生）|g|生鲜肉类|
sausageRaw|猪肉香肠（生）|g|生鲜肉类|
sausageCooked|即食熟香肠|g|冷藏熟食|
bacon|培根（需加热）|g|生鲜肉类|
ham|即食熟火腿|g|冷藏熟食|
squid|鱿鱼（生，去内脏）|g|海鲜|软体动物
wholeFish|小整鱼（生，已去鳞去内脏）|g|海鲜|鱼
trout|虹鳟鱼柳（生）|g|海鲜|鱼
mackerel|鲭鱼柳（生）|g|海鲜|鱼
cod|鳕鱼柳（生）|g|海鲜|鱼
sardine|沙丁鱼（生，已去内脏）|g|海鲜|鱼
tunaCooked|即食金枪鱼罐头（沥干）|g|冷藏熟食|鱼
prawnShell|带壳生大虾|g|海鲜|甲壳类
oysterMeat|鲜生蚝肉（正规冷链，去壳）|g|海鲜|软体动物
mussels|鲜贻贝（活，带壳）|g|海鲜|软体动物
octopusCooked|熟章鱼足（冷藏，需复热）|g|冷藏熟食|软体动物
eelCooked|蒲烧鳗鱼（熟制，需复热）|g|冷藏熟食|鱼
crabCooked|熟蟹肉（冷藏，需复热）|g|冷藏熟食|甲壳类
zucchini|西葫芦|g|蔬菜|
cauliflower|花椰菜|g|蔬菜|
broccoli|西兰花|g|蔬菜|
leek|大葱（葱白）|g|蔬菜|
chives|韭菜|g|蔬菜|
okra|秋葵|g|蔬菜|
romaine|罗马生菜|g|蔬菜|
pumpkin|南瓜（去籽）|g|蔬菜|
carrot|胡萝卜|g|蔬菜|
lotus|莲藕|g|蔬菜|
enoki|金针菇|g|蔬菜|
shiitake|鲜香菇|g|蔬菜|
oysterMushroom|平菇|g|蔬菜|
babyCorn|玉米笋|g|蔬菜|
snapPea|荷兰豆|g|蔬菜|
radish|小红萝卜|g|蔬菜|
celery|芹菜|g|蔬菜|
avocado|牛油果果肉|g|水果|
peach|桃（去核）|g|水果|
pear|梨（去核）|g|水果|
watermelon|西瓜果肉|g|水果|
mango|芒果果肉|g|水果|
grape|葡萄|g|水果|
orange|橙（去皮）|g|水果|
firmTofu|老豆腐（可煎烤）|g|豆制品|大豆
tofuSkin|千张（薄豆腐皮）|g|豆制品|大豆
driedTofu|五香豆干（熟制）|g|豆制品|大豆
gluten|熟面筋|g|豆制品|小麦
chickpea|熟鹰嘴豆（沥干）|g|豆制品|
edamame|熟毛豆仁|g|豆制品|大豆
riceCake|鲜年糕（切片）|g|主食|
burgerBun|汉堡胚|g|主食|小麦
hotdogBun|热狗面包|g|主食|小麦
naan|熟馕饼|g|主食|小麦
mantou|熟馒头|g|主食|小麦
pastaDry|干意面|g|主食|小麦
noodleCooked|熟面条（冷藏）|g|主食|小麦
couscous|即食库斯库斯|g|主食|小麦
oats|即食燕麦片|g|主食|燕麦
riceRaw|生大米|g|主食|
kimchiSauce|韩式辣酱|g|调味|大豆,小麦
bbqSauce|烧烤酱（非生肉腌汁）|g|调味|
sriracha|是拉差辣椒酱|g|调味|
blackBeanSauce|熟豆豉酱|g|调味|大豆
fermentedTofu|腐乳|g|调味|大豆
fiveSpice|五香粉|g|调味|
peppercorn|花椒粉|g|调味|
turmeric|姜黄粉|g|调味|
lemongrass|香茅（嫩芯）|g|香草|
sage|新鲜鼠尾草|g|香草|
capers|酸豆（沥干）|g|调味|
olives|去核橄榄|g|调味|
feta|菲达奶酪|g|乳制品|乳
cream|淡奶油|ml|乳制品|乳
condensedMilk|炼乳|g|乳制品|乳
cocoa|无糖可可粉|g|调味|
coffee|速溶咖啡粉|g|饮品|
blackTea|红茶叶|g|饮品|
greenTea|绿茶叶|g|饮品|
oolong|乌龙茶叶|g|饮品|
walnut|核桃仁|g|坚果|坚果
almond|杏仁|g|坚果|坚果
peanut|熟花生|g|坚果|花生
raisin|葡萄干|g|水果|
mapleSyrup|枫糖浆|ml|调味|
jam|果酱|g|调味|
