# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
韩式部队小火锅|sausageCooked:180,tofu:250,kimchi:150,noodleCooked:200,kimchiSauce:25,water:650,scallion:20|香肠豆腐切片，泡菜剪短，熟面全程冷藏。|锅中水辣酱泡菜煮开，加入香肠豆腐煮透，最后下面条充分复热。|围着小锅分碗吃，浓汤滚开后转小火防溢。|v4-noodle-soup|25/40|pot|探针温度计
番茄牛肉丸汤|groundBeef:300,cannedTomato:300,onion:100,water:500,salt:3,blackPepper:1|牛肉末加部分盐搅黏搓成3厘米丸；洋葱切末。|番茄洋葱加水煮开，逐个放肉丸，小火煮到丸心达到肉末安全温度。|用勺分肉丸与汤，浮起不是唯一熟度判断。|v4-noodle-soup|25/40|pot|探针温度计
椰香红咖喱鸡锅|chicken:400,pepper:200,coconutMilk:250,redCurry:30,water:150,oil:15|鸡腿切3厘米块，甜椒切条，椰奶红咖喱分装。|锅中热油炒咖喱，加鸡肉炒变色，倒椰奶水和甜椒煮到鸡肉全熟。|保持小沸防椰奶焦底，可搭已选米饭。|satay-chicken|28/45|pot|探针温度计
日式牛肉豆腐寿喜锅|beefFlank:300,tofu:300,shiitake:150,leek:150,soy:30,sugar:15,water:400|牛腹逆纹切薄片，豆腐葱香菇切块，调味汁预混。|锅中调味汁煮开，先煮熟菌菇豆腐大葱，再下牛肉薄片煮透。|直接分碗，不蘸生鸡蛋。|v4-noodle-soup|25/40|pot|探针温度计
白胡椒鸡腿汤|chickenDrum:500,whitePepper:2,ginger:20,water:1000,mushroom:200,salt:4|鸡小腿用厨房纸擦干，不冲洗生禽肉，姜切片，口蘑对半|小锅加水姜鸡腿煮开，撇沫后小火煮，放口蘑煮熟，鸡腿最厚处达标。|最后加白胡椒与盐，作为胡椒鸡汤喝。|corn-chowder|25/60|pot|探针温度计
菌菇味噌汤|mushroom:150,shiitake:150,tofu:250,miso:35,water:700,scallion:20|菌菇去硬蒂切片，嫩豆腐切小块，葱切花。|水烧开放菌菇豆腐，小火煮到菌菇全熟；离火后用少量热汤化开味噌再倒回。|撒葱花，味噌不长时间滚煮。|clams-tofu|22/35|pot
蒜香黄油虾仁饭锅|riceRaw:180,shrimp:280,cornKernel:100,garlic:20,butter:25,water:320,salt:3|生米洗净，虾擦干，蒜切末；选择厚底有盖锅。|黄油炒蒜米，加水盐玉米煮开，小火盖焖；米将熟时铺虾再盖，直到米心和虾全熟。|翻松后分碗，米尚硬则少量补热水继续焖。|kimchi-cheese-rice|25/45|pot
鸡肉奶油炖蘑菇|chicken:400,mushroom:250,cream:150,onion:100,water:150,butter:20,salt:3|鸡腿切块，口蘑对半，洋葱切丁，奶油冷藏。|小锅化黄油煎鸡肉上色，放洋葱蘑菇炒软，加水与奶油炖到鸡肉全熟。|酱汁浓到挂勺即可，不用大火煮干。|thyme-mushroom|30/45|pot|探针温度计
土豆香肠暖锅|potato:400,sausageCooked:200,onion:150,water:500,mustard:20,oil:15,salt:3|土豆切2厘米块，香肠切段，洋葱切块。|锅中热油炒洋葱，放土豆水煮软，再加香肠充分复热，最后拌芥末。|带少量汤汁吃，土豆最硬的一块也要煮透。|v4-sausage|25/45|pot|探针温度计
葱姜花蛤豆腐面|clams:600,tofu:250,noodleCooked:250,ginger:15,scallion:20,water:700,salt:2|活花蛤刷净挑掉死贝，豆腐切块，熟面冷藏。|水姜煮开先下花蛤，开壳后继续煮3—5分钟；挑掉未开贝，放豆腐面条充分煮热。|撒葱分碗，先尝咸味再决定是否用完盐。|v4-noodle-soup|25/40|pot|探针温度计
