# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
苹果木烟熏蜜汁鸡翅|chickenWing:500,paprika:3,salt:3,honey:18,soy:12|鸡翅擦干抹盐和红椒粉；蜂蜜生抽另装。|炉温160—180℃，鸡翅放无炭侧加盖热熏；接近熟透再薄刷蜜汁，最后转直火收皮。|先闻果木香再吃，烟香不靠把翅皮熏黑。|v4-wings|25/60|smoke
苹果木烟熏猪肋排|porkRibs:650,paprika:4,cumin:2,blackPepper:2,salt:4,bbqSauce:45|肋排去背膜，抹红椒粉孜然黑椒盐；整排先试放，确保能合盖。|130—150℃间接热熏约3小时；前段有薄烟即可，后段保持热量，末段刷酱收黏。|最厚肉先达安全温度，再烤到探针轻松穿过骨间，不把计时当熟度。|v4-ribs|35/210|smoke
苹果木烟熏压扁鸡|chickenWhole:1100,garlic:20,rosemaryFresh:4,oil:25,salt:7|整鸡去脊骨压平，抹蒜香草油盐；检查炉盖净高与间接区宽度。|160—180℃间接热熏，腿朝热侧；分别测胸部和两侧大腿温度，所有部位达标再出炉。|静置后沿关节拆分，皮若偏软可短暂直火烤香。|v4-whole-chicken|35/115|smoke|剪刀
苹果木橙香鸭胸|duckBreast:450,orangeJuice:50,mustard:15,honey:12,salt:3|鸭皮浅划网格，抹盐；橙汁芥末蜂蜜在小锅煮到略稠。|先煎出部分鸭油，再转160—180℃间接区热熏；酱汁最后刷，最厚肉必须全熟。|切薄片配煮熟的橙汁酱，果木烟香与橙香分层。|v4-duck|30/60|smoke|带沿煎盘（无漏油孔）,至少1.5L带盖小锅
苹果木枫糖三文鱼|salmon:450,mapleSyrup:20,soy:12,blackPepper:1|鱼柳拔刺擦干，生抽与枫糖调开薄抹表面。|120—140℃间接热熏，用少量木块，中心达到鱼类安全温度立即取出。|沿肌理分大块，不把它当冷熏三文鱼存放。|dill-salmon|20/55|smoke
苹果木莳萝虹鳟|trout:450,dillFresh:10,lemonJuice:20,oliveOil:15,salt:3|虹鳟柳拔刺抹油盐；莳萝和柠檬汁保留到出炉。|120—140℃间接热熏，鱼皮朝下放耐热浅盘；少开盖，用探针确认最厚处熟度。|出炉拌莳萝柠檬汁，热吃而非冷藏熟成。|dill-salmon|20/50|smoke
苹果木烟熏生香肠|sausageRaw:450,onion:150,mustard:25|生香肠保持肠衣完整；洋葱切厚环放接油浅盘。|140—160℃间接热熏，香肠中心达到肉末安全温度，再短暂上色；洋葱烤软。|切开共享，蘸芥末；烟熏色不等于内部已熟。|v4-sausage|25/70|smoke
苹果木手撕猪肩|porkShoulder:900,paprika:5,blackPepper:3,salt:7,bbqSauce:60,water:150|猪肩修整厚脂肪，抹盐和香料；选择能稳定控温并持续补炭的长时露营。|120—140℃间接热熏约4—6小时；表面成壳后放有水的耐热盘盖好烤，直到探针轻松穿透。|肉已达安全温度仍可能很韧，继续烤软后撕开，拌熟肉汁与烧烤酱。|v4-pulled-pork|45/360|smoke
苹果木培根肉卷|groundBeef:350,bacon:160,onion:60,bbqSauce:30|牛肉拌洋葱末，压成直径不超过6厘米短卷，用培根交叠包紧。|160—180℃间接热熏，探针插到肉末卷中心，达标后刷烧烤酱，再把外层烤香。|略晾后切厚片，中心肉末必须全熟。|v4-meat-patties|30/80|smoke
苹果木烟熏肉丸|groundBeef:350,onion:50,parsleyFresh:10,soy:12,bbqSauce:30|肉末拌洋葱欧芹生抽，揉成直径3厘米小丸，放耐热浅盘。|150—170℃间接热熏，翻动一次，中心达标后拌烧烤酱，继续热到酱汁收黏。|用叉子分食，比大肉卷更适合短时露营。|v4-meatballs|25/55|smoke
苹果木芥末猪排|porkChop:550,mustard:25,blackPepper:2,oil:12,salt:3|猪排擦干抹油盐黑椒，芥末薄刷一层。|140—160℃间接热熏到接近熟透，移直火烤两面焦边，测中心温度后离火。|静置至少3分钟，切下肉片再分骨边肉。|v4-pork-chop|25/65|smoke
苹果木厚牛排反向煎烤|beefSteak:500,blackPepper:3,salt:4,oil:12|使用3—4厘米厚的整切牛排，擦干抹油盐。|120—140℃间接热熏，再移强直火逐面上色；最终中心达到整切牛肉安全温度。|静置后逆纹切片，黑椒最后撒。|rosemary-beef|25/70|smoke
苹果木味噌老豆腐|firmTofu:450,miso:25,soy:10,oil:15,sesame:5|老豆腐压出表面水分，切2厘米厚片，薄抹油和味噌生抽。|150—170℃间接热熏，翻面让两侧略干，中心充分热透，味噌不要烤黑。|撒芝麻，外韧内嫩时切条吃。|v4-tofu|20/50|smoke
苹果木热熏卡芒贝尔|camembert:200,walnut:25,honey:15,bread:150|奶酪去除所有包装，放可耐炉温的有沿小盘；表面划浅十字。|140—160℃间接热熏，奶酪中心软化后放核桃，再稍烤；面包另烤脆。|蜂蜜下火再淋，用脆面包蘸热奶酪；不是低温冷熏保存法。|camembert-dip|18/35|smoke
苹果木烟熏香料坚果|almond:100,walnut:100,oliveOil:10,paprika:2,salt:2|坚果拌油红椒粉盐，平铺耐热浅盘，不直接落在烤网上。|120—140℃间接热熏约20—35分钟，隔一会儿搅动；闻到苦焦味立即移开。|摊开稍晾再吃，酥脆度冷却后更明显。|-|15/40|smoke
苹果木烟熏玉米段|corn:500,butter:25,paprika:2,salt:2|熟玉米切段，薄抹黄油盐红椒粉。|150—170℃间接热熏并翻面，中心复热后转直火轻烤几处焦斑。|抓着玉米段啃，不需要持续往炉内添木。|miso-corn|18/45|smoke
苹果木芝士酿口蘑|mushroom:350,creamCheese:70,scallion:15,blackPepper:1,oil:10|口蘑去蒂，蒂切末拌奶油奶酪葱末，填回菌盖；外面薄刷油。|150—170℃间接热熏，放浅盘接汁，直到菌盖软熟、馅心充分热透。|一口蘑一个，先晾一下防止热芝士烫口。|thyme-mushroom|22/45|smoke
苹果木热熏熟鸡蛋|eggWhole:4,soy:20,paprika:2,water:800|整蛋加水煮至蛋白蛋黄凝固，去壳后薄抹生抽红椒粉；不要用生蛋直接熏。|130—150℃间接热熏熟鸡蛋，中途转动，充分复热后取出，时间不要拖长。|对半切热吃，不作为常温耐储食品。|-|25/55|smoke|至少1.5L带盖小锅
苹果木花椰菜排|cauliflower:500,oliveOil:20,cumin:3,salt:3,yogurt:80,lemonJuice:15|花椰菜连芯切2厘米厚大片；抹油盐孜然，酸奶柠檬另拌。|160—180℃间接热熏，菜梗变软后短暂直火上色；碎小朵放浅盘。|配冷藏酸奶汁，脆焦边与软菜梗一起吃。|v4-cauliflower|22/55|smoke
苹果木黄油卷心菜|cabbage:500,butter:30,mustard:20,salt:3|卷心菜连芯切楔块，切面抹黄油和盐，放耐热浅盘。|160—180℃间接热熏，盖子保持通风；烤到菜芯软、外缘焦黄，过黑外叶去掉。|淋芥末，沿着菜叶纹理切开共享。|v4-cabbage|20/55|smoke
苹果木枫糖南瓜|pumpkin:500,mapleSyrup:20,oil:15,cinnamon:1,salt:2|南瓜去籽切2厘米厚片，抹油盐肉桂；枫糖单装。|160—180℃间接热熏到南瓜能轻松扎透，最后刷枫糖再烤出亮面。|保留完整软片，勺子挖着吃。|v4-pumpkin|20/55|smoke
苹果木芝士风琴土豆|potato:500,cheddar:60,oil:15,salt:3|土豆切密缝但底部不断；冷水下锅煮到半软，沥干后缝隙刷油盐。|170—190℃间接热熏到中心软，插入芝士片继续烤融化；浅盘接油。|一人分一个，先切开确认中心软透。|rosemary-potato|30/65|smoke|至少1.5L带盖小锅
苹果木核桃烤苹果|apple:450,walnut:35,honey:20,butter:20,cinnamon:1|苹果挖去果核但不挖穿底，填核桃、黄油和肉桂，放小盘。|150—170℃间接热熏，烤到果肉能用勺轻挖且不完全塌陷。|下火淋蜂蜜，连热果汁与核桃一起舀。|cinnamon-apple|18/50|smoke
苹果木蜂蜜烤桃|peach:400,honey:18,yogurt:120,oil:8|桃对半去核，切面薄刷油，酸奶冷藏带出。|先直火烤切面，再转140—160℃间接区短时热熏，果肉软热即取出。|淋蜂蜜配凉酸奶，避免把水果熏到发苦。|v4-grilled-peach|18/35|smoke
苹果木热熏番茄莎莎|tomato:400,onion:100,pepper:120,limeJuice:25,cilantroFresh:15,oil:15,salt:3|番茄对半、洋葱甜椒切大块，薄抹油盐，放有孔烤篮。|先直火烤出焦斑，再转140—160℃间接区短时热熏，蔬菜软热便取出。|切碎拌青柠香菜，当烤肉蘸料；这是现做热熏莎莎，不是罐藏。|v4-pepper|25/45|smoke|烧烤篮
