# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
新疆孜然羊肉串|lamb:350,onion:70,cumin:3,chili:1,oil:10,salt:2|羊腿逆纹切2厘米块；拌洋葱、油和盐，冷藏腌30分钟，再穿金属签。|中强直火勤翻；临出炉撒孜然和辣椒，避免香料长时间焦化。|趁热从签上撸着吃，洋葱腌料不直接生吃。|mint-lamb|18/25|skewer|探针温度计
日式鸡腿大葱串|chicken:350,leek:150,soy:18,sugar:8,water:20|鸡腿切3厘米块，大葱切同样长度，交替穿签；生抽、糖和水另装。|先烤鸡皮一侧，再转中火反复翻面；酱汁用净刷子分两次薄刷，烤到收干。|葱段烤软后和鸡肉一口同吃。|satay-chicken|20/30|skewer|探针温度计
香茅梅花肉串|porkNeck:350,lemongrass:15,garlic:10,fishSauce:12,sugar:6,oil:10|猪梅花切薄片；香茅蒜切末，与鱼露糖油拌肉，冷藏腌30分钟，折叠穿签。|中火摊开烤，肉片边缘上色即换面，不堆成厚肉团。|香茅碎烤香但不烤黑，出炉直接吃。|v4-pork-skewers|18/25|skewer|探针温度计
咖喱花生牛肉串|beefFlank:350,peanutButter:20,soy:12,curryPowder:2,water:20,oil:8|牛腹逆纹切薄条穿签；花生酱、生抽、咖喱粉和水调开，分出蘸汁。|牛肉刷油中强火烤；临熟才刷薄层花生酱，移到弱火烤香。|蘸汁用未接触生肉的那份。|v4-beef-skewers|18/25|skewer|探针温度计
黑椒洋葱牛肉串|beefSteak:360,onion:120,pepper:100,blackPepper:2,oil:12,salt:2|整切牛排切2.5厘米块；洋葱甜椒切同宽，交替穿签。|中强火逐面烤出焦边；肉熟后弱火停放，让蔬菜稍软。|撒黑椒，连洋葱甜椒一起吃。|v4-beef-skewers|20/30|skewer|探针温度计
韩式辣酱五花串|porkBelly:320,kimchiSauce:25,soy:10,honey:8,sesame:4|五花切8毫米厚片折叠穿签；辣酱、生抽和蜂蜜另调。|先用中火烤出油；起火立即移到无炭区，最后薄刷辣酱烤黏。|撒芝麻，不把整串放在火苗上烧。|v4-pork-skewers|22/30|skewer|烧烤刷,探针温度计
培根金针菇卷串|bacon:180,enoki:200,blackPepper:1|金针菇切掉根部掰成细束，培根卷紧，金属签横穿固定。|弱直火转动烤，先让金针菇全熟再把培根边缘烤脆；不能只烤熟外圈。|撒黑椒，分小口吃，防止整束过烫。|v4-bacon|20/30|skewer|探针温度计
薄荷五花生菜卷串|porkBelly:320,lettuce:100,mintFresh:8,garlic:8,soy:12|五花切薄片穿宽签；生菜和薄荷洗净沥干，蒜压泥拌生抽作蘸汁。|中火烤五花出油并翻面，避免油脂滴落起大火。|烤肉包入生菜，加薄荷与少量蒜汁|v4-pork-belly|20/28|skewer|探针温度计
盐烤鸡心串|chickenHeart:280,lemonJuice:12,blackPepper:1,oil:8,salt:2|鸡心剪开去血块，擦干后串成单层；抹油盐。|中火翻转烤，探针从侧面插入最厚鸡心，达标再下火。|柠檬汁出炉再挤，酸味不盖住鸡心。|v4-chicken-heart|18/25|skewer|探针温度计
脆口鸡胗串|chickenGizzard:320,cumin:2,chili:1,oil:10,salt:2|鸡胗修净筋膜，切成均匀薄片，顺着宽面穿签。|中强火多翻面，边缘卷起后改中火烤透，不以脆口为由留生。|出炉撒孜然辣椒，少量分批现烤。|v4-gizzard|18/28|skewer|探针温度计
酥香鸡皮串|chickenSkin:200,leek:80,salt:2,blackPepper:1|鸡皮刮掉厚脂肪，折成松散波浪状；大葱另穿一串。|中小火烤，频繁换面逼出油脂；移开火苗，烤透后再烤脆。|鸡皮配葱段解腻，一次少烤几串。|greek-chicken|25/35|skewer|探针温度计
酱烧鸡肉丸子串|chickenGround:320,scallion:20,soy:12,sugar:6,oil:8|鸡肉末加葱末搅至黏稠，捏成直径3厘米小丸，穿双签；酱油糖另调。|中火先烤定型，再转弱火；刷甜酱烤到黏亮，中心必须熟透。|不配生蛋黄；直接蘸留出的熟甜酱。|v4-meatballs|25/35|skewer|搅拌碗,探针温度计
土耳其孜然羊肉扁串|lambGround:350,onion:60,parsleyFresh:10,cumin:2,paprika:2,salt:2|洋葱切末挤干；拌羊肉末、欧芹、香料与盐，包在宽签上压成1.5厘米厚。|中火先让一面定型再翻，四周都烤到微焦，测量肉末中心温度。|从签上推下分食，不做中空厚肉球。|v4-meat-patties|25/35|skewer|探针温度计
蒜香黄油虾串|shrimp:320,garlic:12,butter:20,lemonJuice:12,salt:2|虾仁擦干，双签穿成平面；黄油与蒜末另放耐热碗融化。|虾两面烤到肉质不透明，最后刷熟蒜黄油，避免蒜末先焦。|滴柠檬汁，连烤出的蒜香汁一起吃。|lemon-shrimp|15/22|skewer
甜辣鱿鱼须串|squid:350,sriracha:20,honey:8,soy:10,oil:8|鱿鱼清理后切成长条，须分开穿双签；甜辣酱、生抽蜂蜜另装。|强火短烤并勤翻；收缩定型后薄刷酱再烤至熟，不反复久烤成硬条。|用剪刀剪成一口大小，再从签上取下。|v4-squid|18/25|skewer|剪刀
青柠熟章鱼串|octopusCooked:320,limeJuice:15,oliveOil:10,paprika:2|熟章鱼足切3厘米段，拌油和红椒粉，穿双签。|中火先复热到中心达标，再短暂提高火力烤出表面焦边。|下火拌青柠汁，不再长时间烤干。|v4-octopus|18/25|skewer|探针温度计
扇贝蘑菇双拼串|scallopMeat:240,mushroom:160,butter:15,soy:10|扇贝擦干；口蘑对半切，分别穿签，避免强行统一熟制时间。|蘑菇先烤至软；扇贝后上火，两面上色且中心不透明，刷黄油生抽。|两种签一起盛盘，交替吃鲜甜与菌香。|scallop-vermicelli|18/28|skewer|烧烤刷
酱烤年糕香肠串|riceCake:200,sausageCooked:160,kimchiSauce:20,ketchup:15,honey:8|年糕按包装要求预煮软，和熟香肠分段交替穿签；酱料另混合。|中小火烤，年糕表面略起壳、香肠热透后刷酱再收干。|年糕趁热软糯时吃，不让糖酱烧黑。|v4-ricecake|18/28|skewer|至少1.5L带盖小锅,探针温度计
菠萝鸡肉串|chickenBreast:320,pineapple:200,soy:15,honey:8,oil:8|鸡胸切2厘米块；菠萝切同宽，分别穿签；肉用油与生抽冷藏腌20分钟。|鸡肉用中火烤熟；菠萝另烤焦边，蜂蜜最后薄刷。|一块鸡肉配一块热菠萝，生菠萝汁不长时间腌肉。|satay-chicken|20/30|skewer|探针温度计
