# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
脆边韩式五花肉|porkBelly:350,lettuce:120,kimchi:80,garlic:15,sesameOil:8,salt:2|五花切8毫米片，生菜洗净；泡菜与蒜片分开装熟食盒。|中火先烤五花出油，两面金黄后移弱火烤熟；蒜片用小盘烤软。|生菜包烤肉、蒜片和泡菜，一口吃下。|v4-pork-belly|25/35|grill|耐热浅盘,探针温度计
蜜汁叉烧梅花肉|porkNeck:450,soy:25,fermentedTofu:20,honey:20,fiveSpice:1|梅花肉切成3厘米厚条，拌生抽腐乳五香粉，冷藏腌4小时；蜂蜜单装。|带盖炉180℃左右间接烤，翻面后薄刷蜂蜜；上色足够便移离炭火继续烤熟。|静置后横切薄片，收集熟肉汁蘸着吃。|v4-pork-chop|25/65|roast|探针温度计
芥末苹果烤猪排|porkChop:500,apple:200,mustard:20,oliveOil:12,salt:3|猪排擦干抹油盐；苹果切厚片去核，芥末另装。|猪排先直火上色再间接烤熟；苹果两面烤软，猪排下火后薄抹芥末。|静置后配烤苹果，不以苹果变软代替猪排熟度检查。|v4-pork-chop|25/45|roast|探针温度计
甜辣酱烤猪肋排|porkRibs:650,paprika:4,blackPepper:2,salt:4,bbqSauce:50|肋排揭去背膜，擦干后抹红椒粉、黑椒和盐；整排大小先核对炉盖净高。|140—160℃间接烤约2—3小时，盖好保持通风；接近软嫩时刷烧烤酱，收成薄黏层。|以骨间探针轻松穿入判软嫩，安全温度达标后再继续烤软。|v4-ribs|35/180|roast|探针温度计
黑椒整切厚牛排|beefSteak:450,blackPepper:2,salt:3,oil:10,butter:15|选3厘米左右厚的整切牛排，擦干抹盐与油，黑椒黄油留到后段。|先间接烤再直火逐面上色；探针插入中心，达到整切肉安全温度后离火。|静置至少3分钟，切片后拌黑椒黄油。|rosemary-beef|22/45|roast|探针温度计
阿根廷欧芹烤牛腹|beefFlank:450,parsleyFresh:20,garlic:10,wineVinegar:20,oliveOil:25,chili:1,salt:3|牛腹修掉厚筋；欧芹蒜切末拌醋、油、辣椒和部分盐，分出熟食酱。|牛腹在中强火两面烤香，再弱火完成中心温度；不反复扎洞。|静置后找准肌肉纹理，逆纹薄切，浇欧芹酱。|chimi-beef|22/35|grill|探针温度计
椒盐拍扁鸡腿|chicken:400,salt:3,whitePepper:1,peppercorn:1,oil:10|鸡腿厚处横划展开成均匀厚片，擦干抹油和椒盐。|鸡皮朝下用中火烤出油，再翻面；上色后移间接区烤透最厚处。|剪成大块，保留完整脆皮。|greek-chicken|25/40|roast|探针温度计
蒜香帕尔马鸡翅|chickenWing:500,garlic:15,butter:25,parmesan:20,salt:3|鸡翅擦干撒盐；蒜末与黄油放耐热盘，帕尔马奶酪分装。|180—200℃间接烤鸡翅并翻面，熟透后转直火收皮；蒜黄油加热至蒜熟。|出炉拌熟蒜黄油和奶酪，避免奶酪掉到炭上。|v4-wings|25/55|roast|耐热浅盘,探针温度计
韩式火辣鸡翅|chickenWing:500,kimchiSauce:30,honey:15,soy:10,sesame:4|鸡翅擦干；辣酱蜂蜜生抽调匀，分出一份熟食酱。|先用带盖炉间接烤熟鸡翅，再刷酱烤成黏亮层，糖酱不能长时间直烤。|撒芝麻，熟食酱少量蘸食。|v4-wings|25/55|roast|探针温度计
柠檬胡椒鸡小腿|chickenDrum:550,lemonJuice:20,blackPepper:2,oil:15,salt:3|鸡小腿厚肉处划口，抹油盐黑椒，柠檬汁单装。|180—200℃间接烤，定期翻面；探针贴近最厚肉处但避骨，达标后烤上色。|离火滴柠檬汁，握骨啃食前略晾。|v4-drumsticks|25/65|roast|探针温度计
