# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
开背蒜蓉大虾|prawnShell:500,garlic:30,oil:20,soy:15,scallion:15|带壳虾从背部剪开去肠线，擦干；蒜末与油生抽分装。|虾背朝上放耐热浅盘，填蒜蓉；加盖间接烤，虾肉全部不透明再揭盖收汁。|连壳上桌，剥壳蘸盘中熟蒜汁。|lemon-shrimp|22/35|roast|耐热浅盘
盐壳风味带壳虾|prawnShell:500,salt:6,lemonJuice:20,oil:10|带壳虾洗净剪须，擦干后薄抹油盐，不裹厚盐层。|烤网中强火烤，两面翻到壳红、肉珍珠白且不透明；厚虾检查中心。|剥壳后滴柠檬汁，盐留在壳上不额外蘸咸酱。|lemon-shrimp|18/25|grill
蒜蓉蚝肉锡盘烤|oysterMeat:300,garlic:25,oil:15,soy:10,water:500,scallion:10|蚝肉来自正规冷链；先放沸水煮至少3分钟，捞出沥干，生熟容器分开。|蚝肉放耐热浅盘，铺油拌蒜蓉与生抽，加盖烤到蒜熟、汁液沸腾。|撒葱花，连盘热吃；不把生蚝外壳当已消毒餐具。|v4-oyster|25/35|roast|耐热浅盘,至少1.5L带盖小锅
芝士焗蚝肉|oysterMeat:300,mozzarella:70,butter:15,garlic:15,water:500|蚝肉先在沸水中煮至少3分钟，捞出；蒜末黄油在小锅炒熟。|熟蚝肉与蒜黄油放耐热盘，撒芝士，间接加盖烤到中心热透、芝士融化。|略晾后用叉子吃，不追求大火烧黑芝士。|v4-oyster|25/40|roast|耐热浅盘,至少1.5L带盖小锅
蒜香粉丝虾盘|prawnShell:450,glassNoodle:60,garlic:25,soy:20,water:220,oil:15|粉丝用冷水泡软沥干；虾开背去肠线，蒜切末。|粉丝铺耐热盘，加水生抽，虾放上面，铺蒜油；加盖烤至虾肉全熟、粉丝透明柔软。|先吃虾，再拌匀吸汁粉丝，盘底干时少量补水。|scallop-vermicelli|25/40|roast|耐热浅盘
炭烤整鱿鱼|squid:450,soy:20,oil:15,cumin:3,chili:1|整鱿鱼清除内脏软骨，剖开铺平并擦干；须单独夹入烤鱼夹。|中强火频繁翻夹，肉卷起并全熟后薄刷生抽，再撒孜然辣椒烤香。|剪刀剪成条，须与身体分开共享。|v4-squid|22/30|fish|剪刀
韩式鱿鱼圈烤盘|squid:400,onion:150,kimchiSauce:25,soy:10,oil:12|鱿鱼切宽圈，洋葱切粗丝；酱料另调。|煎盘先把洋葱炒软，再加鱿鱼圈快炒至熟，最后拌辣酱收汁。|把汁留在带沿盘里，不让辣酱直接漏进炭火。|v4-squid|20/30|pan
柠檬夹烤小整鱼|wholeFish:600,lemonJuice:25,parsleyFresh:15,oliveOil:20,salt:4|鱼彻底去鳞鳃内脏，擦干，两面浅划口；鱼皮与烤鱼夹都薄刷油。|中火夹烤，两面上色后移弱火，最厚肉达到安全温度，皮不粘才翻夹。|沿脊骨分出肉，拌柠檬欧芹油，注意细刺。|v4-whole-fish|28/45|fish
泰式青柠整鱼锡盘|wholeFish:600,limeJuice:30,fishSauce:15,garlic:20,cilantroFresh:15,water:100|整鱼清理干净，浅划口；青柠汁与香菜冷藏另装。|鱼入耐热盘，加水、蒜和鱼露，加盖间接烤到最厚肉达标。|出炉再加青柠和香菜，用勺把熟鱼汁浇回鱼肉。|v4-whole-fish|25/45|roast|耐热浅盘
味噌姜汁烤鲭鱼|mackerel:400,miso:25,ginger:15,sugar:8,water:20|鲭鱼柳检查细刺；味噌姜末糖水调开，薄抹鱼肉面，冷藏腌30分钟。|鱼皮朝下用烤鱼夹中火烤，转弱火完成；味噌上色后避免继续直火灼烧。|带皮切段，姜香酱不用再额外加盐。|v4-whole-fish|20/35|fish|探针温度计
红椒蒜香沙丁鱼|sardine:500,garlic:15,paprika:3,oliveOil:20,lemonJuice:20,salt:3|沙丁鱼去鳞鳃内脏擦干，蒜切片；鱼与夹子薄抹油盐红椒粉。|中火夹烤两面，鱼肉熟透后下火；蒜片在小盘中烤熟，别掉入火中。|配熟蒜片与柠檬汁，整鱼吃时去骨。|v4-whole-fish|22/32|fish|探针温度计,耐热浅盘
柠檬酸豆焗鳕鱼|cod:400,capers:20,butter:25,lemonJuice:20,onion:100|鳕鱼去刺擦干；洋葱切薄丝，和鱼、黄油酸豆放耐热浅盘。|合上炉盖，间接烤到鱼中心达标；开盖时蒸汽朝外，不把汁倒掉。|下火加柠檬汁，鱼肉与熟洋葱一起舀食。|ginger-fish|20/35|roast|耐热浅盘,探针温度计
枫糖芥末三文鱼|salmon:400,mapleSyrup:20,mustard:20,soy:12,oil:8|三文鱼擦干检查刺，鱼皮薄刷油；枫糖芥末生抽分成两份。|鱼皮朝下间接烤，接近熟透时刷一份酱；中心达标即出炉。|蘸未接触生鱼的另一份酱，鱼皮按喜好食用。|dill-salmon|20/35|roast|耐热浅盘,探针温度计
蒜香黄油贻贝锅|mussels:700,garlic:25,butter:25,water:120,parsleyFresh:15|活贻贝刷净去足丝，破壳和轻敲不闭合的弃掉。|带盖小锅放水黄油蒜煮开，倒入贻贝加盖煮；开壳后继续煮3—5分钟，未开的弃掉。|拌欧芹，直接端锅分食，贝壳不是喝汤的安全替代碗。|v4-mussels|25/35|pot
豆豉辣椒贻贝|mussels:700,blackBeanSauce:25,pepper:150,garlic:20,water:150,oil:10|贻贝按活贝要求挑选刷净；甜椒切小块，蒜切末。|小锅先炒蒜甜椒豆豉，加水煮开，再下贻贝盖煮；开壳后继续煮3—5分钟。|拌匀熟酱汁，未开壳的弃掉。|v4-mussels|25/35|pot
花蛤蒜香黄油锅|clams:700,garlic:25,butter:25,water:150,scallion:15|活花蛤刷净挑掉死贝破贝；蒜切末，使用带盖锅。|锅中加水蒜黄油煮开，倒花蛤加盖；开壳后继续煮3—5分钟，保持汁液沸腾。|撒葱花，未开壳的不强撬食用。|clams-tofu|25/35|pot
酱香熟鳗鱼烤饭|eelCooked:250,rice:300,soy:12,sugar:5,sesame:4,nori:2|熟鳗鱼按包装解冻，米饭全程冷藏；生抽糖另调。|熟鳗鱼在浅盘复热，米饭在煎盘压薄烤热；两者中心达到复热温度再拼盘。|鳗鱼切段铺饭，撒芝麻海苔，避免米饭反复凉热。|v4-eel|22/35|pan|探针温度计
椒盐熟章鱼足|octopusCooked:400,blackPepper:2,paprika:2,oliveOil:15,lemonJuice:20,salt:2|熟章鱼足保留长条，擦干薄抹油与香料。|先在带盖浅盘中温复热，再直火烤出外部焦边，避免里冷外焦。|斜切厚片，滴柠檬汁，嚼劲来自章鱼本身不靠烤干。|v4-octopus|22/35|roast|耐热浅盘,探针温度计
蒜香扇贝黄油盅|scallopMeat:320,butter:30,garlic:20,soy:12,scallion:10|扇贝去砂囊洗净擦干；蒜末与黄油放耐热小盘，不用来源不明贝壳。|先加热蒜黄油，放扇贝两面煎烤至中心不透明，再加生抽收汁。|撒葱花，用小勺连汁吃。|scallop-vermicelli|20/30|pan
红咖喱海鲜锅|shrimp:220,cod:250,coconutMilk:180,redCurry:25,pepper:150,water:100|虾去肠线，鳕鱼切大块；甜椒切条，咖喱与椰奶水调开。|带盖锅先煮开咖喱汁，再放鱼虾，小火加盖到鱼虾全熟，不干烧。|分碗当一锅浓汁海鲜吃，不把椰奶滴到炭上。|paprika-shrimp|25/40|pot|探针温度计
葱姜熟蟹肉豆腐煲|crabCooked:200,tofu:300,ginger:15,scallion:20,water:250,soy:12,oil:10|熟蟹肉挑净残壳，嫩豆腐切块；姜切丝葱切段。|小锅热油炒姜，放水豆腐煮透，加入蟹肉充分复热，最后加生抽葱段。|用汤勺分食，冷藏熟蟹肉不只温热一下。|clams-tofu|22/35|pot|探针温度计
蒜辣虾玉米锅|prawnShell:400,corn:300,potato:200,butter:30,paprika:4,garlic:20,water:500,salt:3|土豆切2厘米块，熟玉米切段；虾剪须去肠线。|土豆加水煮软，放玉米和虾煮熟；沥掉多余水，再拌煮熟的蒜辣黄油。|用大盘倒出分食，虾最后下锅避免过老。|lemon-shrimp|30/45|pot
香草虹鳟夹烤|trout:400,dillFresh:10,lemonJuice:20,oliveOil:15,salt:3|虹鳟柳检查细刺，擦干抹油盐，鱼夹也刷油。|中火先烤皮面，肉定型后轻翻；最厚处达到鱼类安全温度。|出炉撒莳萝、滴柠檬汁，不把鲜草提前烧焦。|dill-salmon|20/32|fish|探针温度计
甜椒金枪鱼芝士船|tunaCooked:180,pepper:300,mozzarella:70,tomatoSauce:40,onion:60|甜椒对半去籽；沥干金枪鱼拌番茄酱与洋葱末，填入椒壳。|间接加盖烤，椒壳软后撒芝士继续烤，馅料热透、芝士融化即成。|一人半只甜椒船，连椒壳切块吃。|v4-pepper|25/45|roast|耐热浅盘
海苔芝麻虾滑小饼|shrimp:320,scallion:20,sesame:6,nori:3,oil:15,salt:2|虾仁剁成粗泥，拌葱末盐，压成1厘米厚小饼，表面撒芝麻。|带沿煎盘中火少油煎，两面金黄、中心完全不透明；不能放大孔烤网漏下去。|出锅剪海苔碎撒上，薄饼更易熟透。|lemon-shrimp|25/35|pan
