# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
酸辣拍黄瓜|cucumber:400,garlic:15,vinegar:25,soy:15,sesameOil:8,chili:1|黄瓜洗净拍裂切块，蒜切末；调味汁单独装，暂不接触黄瓜。|临吃把黄瓜与蒜醋生抽香油辣椒拌匀，放几分钟后再次拌匀。|盛到带汁小碗，配烤五花解腻。|v4-cucumber|10/15|cold
薄荷酸奶黄瓜|cucumber:350,yogurt:180,mintFresh:12,lemonJuice:20,salt:2|黄瓜切小丁沥掉表面水，薄荷摘叶切细，酸奶全程冷藏。|酸奶拌柠檬盐与薄荷，最后加入黄瓜，避免提前拌得出水。|搭孜然羊肉或当凉拌菜吃，酸奶取用后马上回冷藏。|v4-cucumber|12/15|cold
西瓜菲达薄荷沙拉|watermelon:450,feta:80,mintFresh:12,limeJuice:20,oliveOil:10|西瓜去籽切方块，菲达切小块，薄荷摘叶。|西瓜先拌青柠与橄榄油，再轻放菲达与薄荷，少翻避免碎。|烤肉中途上桌，一口西瓜一口咸奶酪。|v4-watermelon|12/15|cold
牛油果番茄沙拉|avocado:250,tomato:200,onion:60,limeJuice:25,cilantroFresh:12,salt:2|牛油果与番茄切丁，洋葱切细末，香菜切段。|先用青柠盐拌牛油果，再拌番茄洋葱香菜，尽量保留块形。|搭虾或烤鸡，也能直接用勺吃。|basil-toast|15/18|cold
芒果青柠虾仁沙拉|mango:250,shrimpCooked:250,cucumber:150,limeJuice:25,fishSauce:10,cilantroFresh:12|只用正规冷藏即食熟虾；芒果黄瓜切小块，香菜切段。|青柠鱼露调匀，和熟虾水果蔬菜轻拌，食用前才出冷藏。|酸甜鲜一起吃，不用生虾靠柠檬汁“腌熟”。|summer-roll|15/18|cold
芥末土豆鸡蛋沙拉|potato:350,eggWhole:2,mayo:60,mustard:20,pickles:50,salt:2|土豆与鸡蛋在家煮熟，蛋白蛋黄凝固；迅速冷却后冷藏运输，现场切丁。|土豆蛋丁拌蛋黄酱芥末和酸黄瓜，按量加盐，不把蛋丁全压成泥。|保持冷藏，分小份取出吃，剩余不反复暴晒。|v4-potato-salad|15/20|cold|至少1.5L带盖小锅
德式酸汁土豆沙拉|potato:400,onion:80,mustard:20,vinegar:25,oliveOil:20,parsleyFresh:10,salt:3|土豆在家煮熟冷却冷藏，现场切厚片，洋葱切末。|芥末醋油盐调匀，拌土豆洋葱与欧芹，轻翻不弄碎。|无蛋黄酱的清爽吃法，但熟土豆仍需冷藏。|v4-potato-salad|15/20|cold|至少1.5L带盖小锅
卷心菜苹果脆沙拉|cabbage:250,apple:200,carrot:100,yogurt:100,lemonJuice:25,mustard:15,salt:2|卷心菜胡萝卜切细丝，苹果临吃切丝；酸奶柠檬芥末另装。|苹果先拌少量柠檬汁防褐变，再与菜丝和酸奶汁拌匀。|搭汉堡、热狗或烤猪排，现拌保留脆感。|v4-cabbage|18/20|cold
彩椒鹰嘴豆拌菜|chickpea:300,pepper:180,cucumber:150,parsleyFresh:15,lemonJuice:25,oliveOil:20,salt:3|即食熟鹰嘴豆沥干，甜椒黄瓜切丁，欧芹切碎。|先把柠檬油盐摇匀，再倒入豆与菜中，轻拌到表面有薄层油酸汁。|作为烤肉旁的小份豆沙拉，余下回冷藏。|v4-chickpea|15/18|cold
希腊番茄橄榄沙拉|tomato:250,cucumber:200,onion:60,olives:50,feta:80,oliveOil:20,wineVinegar:20,oreganoDry:1|番茄黄瓜切大块，洋葱切薄片，橄榄沥干。|菜与油醋牛至先拌，菲达最后捏大块放上，避免拌成乳酱。|咸味来自橄榄和奶酪，不默认另加盐。|basil-toast|15/18|cold
